ORDER	LATENCY	ABS
393	3130	1178515
394	3130	1181645
395	3116	1184761
396	3051	1187812
397	3120	1190932
398	2985	1193917
399	2109	1196026
400	3171	1199197
401	3068	1202265
402	3047	1205312
403	3050	1208362
404	2159	1210521
405	2498	1213019
406	2364	1215383
407	3154	1218537
408	2948	1221485
409	2185	1223670
410	2110	1225780
411	2197	1227977
412	2049	1230026
413	2028	1232054
414	2985	1235039
415	2020	1237059
416	2024	1239083
417	2121	1241204
418	2118	1243322
419	2033	1245355
420	2017	1247372
421	2010	1249382
422	2098	1251480
423	2111	1253591
424	3044	1256635
425	2026	1258661
426	2027	1260688
427	2189	1262877
428	2549	1265426
429	3321	1268747
430	2111	1270858
431	2102	1272960
432	3059	1276019
433	3039	1279058
434	2140	1281198
435	3115	1284313
436	2543	1286856
437	2202	1289058
438	3184	1292242
439	3114	1295356
440	3142	1298498
441	3404	1301902
442	3282	1305184
443	3128	1308312
444	3033	1311345
445	3061	1314406
446	3228	1317634
447	2178	1319812
448	3229	1323041
449	3097	1326138
450	3049	1329187
451	3095	1332282
452	2215	1334497
453	2112	1336609
454	3064	1339673
455	2997	1342670
456	3101	1345771
457	2162	1347933
458	3098	1351031
459	2345	1353376
460	2654	1356030
461	3117	1359147
462	2716	1361863
463	3168	1365031
464	3478	1368509
465	2880	1371389
466	3265	1374654
467	3225	1377879
468	3126	1381005
469	3266	1384271
470	3381	1387652
471	3216	1390868
472	3395	1394263
473	3175	1397438
474	3247	1400685
475	3219	1403904
476	3159	1407063
477	2382	1409445
478	3094	1412539
479	3183	1415722
480	3459	1419181
481	3004	1422185
482	4921	1427106
483	3239	1430345
484	3922	1434267
485	4790	1439057
486	4850	1443907
487	3378	1447285
488	5511	1452796
489	2482	1455278
490	2135	1457413
491	2523	1459936
492	2144	1462080
493	3083	1465163
494	3495	1468658
495	2383	1471041
496	1971	1473012
497	1965	1474977
498	1967	1476944
499	2168	1479112
500	2067	1481179
501	2169	1483348
502	2822	1486170
503	2164	1488334
504	2223	1490557
505	2052	1492609
506	2361	1494970
507	2145	1497115
508	3471	1500586
509	3527	1504113
510	3209	1507322
511	3046	1510368
512	2299	1512667
513	2289	1514956
514	2913	1517869
515	2021	1519890
516	1992	1521882
517	2097	1523979
518	2461	1526440
519	1991	1528431
520	2079	1530510
521	2197	1532707
522	2193	1534900
523	2176	1537076
524	2181	1539257
525	3172	1542429
526	2039	1544468
527	2030	1546498
528	2692	1549190
529	2966	1552156
530	2149	1554305
531	2189	1556494
532	2074	1558568
533	3054	1561622
534	2095	1563717
535	3095	1566812
536	3172	1569984
537	3438	1573422
538	2442	1575864
539	3279	1579143
540	2642	1581785
541	3135	1584920
542	3200	1588120
543	2913	1591033
544	2267	1593300
545	2715	1596015
546	2358	1598373
547	2240	1600613
548	2082	1602695
549	2199	1604894
550	3103	1607997
551	2410	1610407
552	2111	1612518
553	2686	1615204
554	3217	1618421
555	3070	1621491
556	2155	1623646
557	2177	1625823
558	2437	1628260
559	2819	1631079
560	4003	1635082
561	3692	1638774
562	3166	1641940
563	3141	1645081
564	2222	1647303
565	3033	1650336
566	2073	1652409
567	5120	1657529
568	2467	1659996
569	2008	1662004
570	2331	1664335
571	2673	1667008
572	2208	1669216
573	2524	1671740
574	3408	1675148
575	3122	1678270
576	3001	1681271
577	4556	1685827
578	3381	1689208
579	3376	1692584
580	2879	1695463
581	3385	1698848
582	3253	1702101
583	3199	1705300
584	2188	1707488
585	2413	1709901
586	2098	1711999
587	3032	1715031
588	2114	1717145
589	3330	1720475
590	3273	1723748
591	2235	1725983
592	2276	1728259
593	2297	1730556
594	3286	1733842
595	2280	1736122
596	2200	1738322
597	2052	1740374
598	1975	1742349
599	2062	1744411
600	1933	1746344
601	2010	1748354
602	1934	1750288
603	2013	1752301
604	1948	1754249
605	1866	1756115
606	1987	1758102
607	1868	1759970
608	2064	1762034
609	2105	1764139
610	2071	1766210
611	2115	1768325
612	1956	1770281
613	1968	1772249
614	1996	1774245
615	2044	1776289
616	2587	1778876
617	2425	1781301
618	2101	1783402
619	2024	1785426
620	2033	1787459
621	2211	1789670
622	2174	1791844
623	2122	1793966
624	2103	1796069
625	2114	1798183
626	2035	1800218
627	1991	1802209
628	2004	1804213
629	1982	1806195
630	1945	1808140
631	1884	1810024
632	1958	1811982
633	1871	1813853
634	1872	1815725
635	2037	1817762
636	1992	1819754
