ORDER	LATENCY	ABS
366	5672	2752349
367	5098	2757447
368	5078	2762525
369	5034	2767559
370	4542	2772101
371	4653	2776754
372	5770	2782524
373	5508	2788032
374	5184	2793216
375	5310	2798526
376	5470	2803996
377	5571	2809567
378	5138	2814705
379	5626	2820331
380	5380	2825711
381	4779	2830490
382	4477	2834967
383	4933	2839900
384	6380	2846280
385	5629	2851909
386	5223	2857132
387	5043	2862175
388	4834	2867009
389	4444	2871453
390	4394	2875847
391	4341	2880188
392	4301	2884489
393	4462	2888951
394	4325	2893276
395	4679	2897955
396	4771	2902726
397	4396	2907122
398	4426	2911548
399	4458	2916006
400	4888	2920894
401	4440	2925334
402	4385	2929719
403	4194	2933913
404	4645	2938558
405	5039	2943597
406	4971	2948568
407	5956	2954524
408	5758	2960282
409	4977	2965259
410	5024	2970283
411	4780	2975063
412	4463	2979526
413	4636	2984162
414	5070	2989232
415	4766	2993998
416	4520	2998518
417	4991	3003509
418	5581	3009090
419	5030	3014120
420	5463	3019583
421	5435	3025018
422	5458	3030476
423	6453	3036929
424	6199	3043128
425	5417	3048545
426	5585	3054130
427	6171	3060301
428	7042	3067343
429	8857	3076200
430	7612	3083812
431	5173	3088985
432	5327	3094312
433	5380	3099692
434	4848	3104540
435	4521	3109061
436	5047	3114108
437	5407	3119515
438	5449	3124964
439	5896	3130860
440	5188	3136048
441	5499	3141547
442	5819	3147366
443	5652	3153018
444	5075	3158093
445	6074	3164167
446	6174	3170341
447	5065	3175406
448	7546	3182952
449	9872	3192824
450	7104	3199928
451	5785	3205713
452	5299	3211012
453	9855	3220867
454	5296	3226163
455	5294	3231457
456	4932	3236389
457	5031	3241420
458	4726	3246146
459	4078	3250224
460	4593	3254817
461	4394	3259211
462	3787	3262998
463	4160	3267158
464	4701	3271859
465	3775	3275634
466	3743	3279377
467	3661	3283038
468	3731	3286769
469	4046	3290815
470	4147	3294962
471	3803	3298765
472	3921	3302686
473	3980	3306666
474	3760	3310426
475	4083	3314509
476	4158	3318667
477	3938	3322605
478	4155	3326760
479	3926	3330686
480	3722	3334408
481	4387	3338795
482	4510	3343305
483	4782	3348087
484	4699	3352786
485	4275	3357061
486	5685	3362746
487	6000	3368746
488	5371	3374117
489	4424	3378541
490	4922	3383463
491	4615	3388078
492	4794	3392872
493	5123	3397995
494	5119	3403114
495	5541	3408655
496	4931	3413586
497	4731	3418317
498	4555	3422872
499	4522	3427394
500	4349	3431743
501	4686	3436429
502	4667	3441096
503	4900	3445996
504	5133	3451129
505	5200	3456329
506	4910	3461239
507	5118	3466357
508	4860	3471217
509	4622	3475839
510	4128	3479967
511	5620	3485587
512	9823	3495410
513	5365	3500775
514	5191	3505966
515	5826	3511792
516	6050	3517842
517	4767	3522609
518	4662	3527271
519	4509	3531780
520	4529	3536309
521	4222	3540531
522	4239	3544770
523	7972	3552742
524	4903	3557645
525	4194	3561839
526	4217	3566056
527	4228	3570284
528	4303	3574587
529	4156	3578743
530	4720	3583463
531	4436	3587899
532	4647	3592546
533	4216	3596762
534	4053	3600815
535	4199	3605014
536	4688	3609702
537	4380	3614082
538	4334	3618416
539	4470	3622886
540	4272	3627158
541	4112	3631270
542	4092	3635362
543	4287	3639649
544	4049	3643698
545	4334	3648032
546	4006	3652038
547	4119	3656157
548	4180	3660337
549	4140	3664477
550	3913	3668390
551	7817	3676207
552	9017	3685224
553	6317	3691541
554	6047	3697588
555	5606	3703194
556	5243	3708437
557	4950	3713387
558	4727	3718114
559	4453	3722567
560	3993	3726560
561	4485	3731045
562	4717	3735762
563	4051	3739813
564	4391	3744204
565	4205	3748409
566	4269	3752678
567	4597	3757275
568	4169	3761444
569	4110	3765554
570	4509	3770063
571	4600	3774663
572	4221	3778884
573	5144	3784028
574	4383	3788411
575	4315	3792726
576	5944	3798670
577	5862	3804532
578	5146	3809678
579	4342	3814020
580	5541	3819561
581	5159	3824720
582	4890	3829610
583	4592	3834202
584	4613	3838815
585	4536	3843351
586	4372	3847723
587	4231	3851954
588	3828	3855782
589	4122	3859904
590	4116	3864020
591	4098	3868118
592	4071	3872189
593	4267	3876456
594	4505	3880961
595	4204	3885165
596	4050	3889215
597	4175	3893390
598	4682	3898072
599	4297	3902369
600	4274	3906643
601	5291	3911934
602	4831	3916765
603	5127	3921892
604	4881	3926773
605	4337	3931110
606	3938	3935048
607	4329	3939377
608	4782	3944159
609	4673	3948832
610	4699	3953531
611	4450	3957981
612	5165	3963146
613	4680	3967826
614	4363	3972189
615	4547	3976736
616	4832	3981568
617	4466	3986034
618	4102	3990136
619	4576	3994712
620	4611	3999323
621	4056	4003379
622	4830	4008209
623	4394	4012603
624	4931	4017534
625	4739	4022273
626	4419	4026692
627	4264	4030956
628	4024	4034980
629	4400	4039380
630	4236	4043616
631	4036	4047652
632	4100	4051752
633	4397	4056149
634	3938	4060087
635	4137	4064224
636	3842	4068066
637	3858	4071924
638	4482	4076406
639	4300	4080706
640	14837	4095543
641	6083	4101626
642	4676	4106302
643	4084	4110386
644	4033	4114419
645	4019	4118438
646	3870	4122308
647	4346	4126654
648	3759	4130413
649	3824	4134237
650	3731	4137968
651	3906	4141874
652	3937	4145811
653	4078	4149889
654	3774	4153663
655	4294	4157957
656	3905	4161862
657	3941	4165803
658	3706	4169509
659	3940	4173449
660	3645	4177094
661	4013	4181107
662	4267	4185374
663	4119	4189493
664	3858	4193351
665	4184	4197535
666	4358	4201893
667	4430	4206323
668	4779	4211102
669	4190	4215292
670	3958	4219250
671	3988	4223238
672	4135	4227373
673	4158	4231531
674	3977	4235508
675	3910	4239418
676	4110	4243528
677	4031	4247559
678	3800	4251359
679	4080	4255439
680	4061	4259500
681	3849	4263349
682	4011	4267360
683	4050	4271410
684	4156	4275566
685	4369	4279935
686	4177	4284112
687	3891	4288003
688	3953	4291956
689	4366	4296322
690	4116	4300438
691	4024	4304462
692	3849	4308311
693	3885	4312196
694	3895	4316091
695	4043	4320134
696	4324	4324458
697	4053	4328511
698	4145	4332656
699	4002	4336658
