ORDER	LATENCY	ABS
356	45708	10482422
357	43596	10526018
358	41553	10567571
359	43598	10611169
360	60921	10672090
361	60954	10733044
362	58874	10791918
363	56912	10848830
364	54879	10903709
365	52885	10956594
366	50912	11007506
367	48913	11056419
368	46675	11103094
369	44868	11147962
370	42621	11190583
371	40804	11231387
372	38824	11270211
373	36816	11307027
374	34491	11341518
375	32422	11373940
376	30341	11404281
377	28276	11432557
378	25836	11458393
379	23892	11482285
380	21677	11503962
381	19886	11523848
382	17926	11541774
383	15828	11557602
384	13643	11571245
385	11280	11582525
386	9256	11591781
387	20437	11612218
388	34993	11647211
389	36502	11683713
390	34393	11718106
391	32385	11750491
392	31423	11781914
393	32721	11814635
394	30784	11845419
395	28829	11874248
396	26864	11901112
397	32698	11933810
398	30885	11964695
399	28955	11993650
400	26903	12020553
401	24934	12045487
402	22979	12068466
403	20961	12089427
404	19124	12108551
405	17120	12125671
406	15053	12140724
407	13057	12153781
408	18390	12172171
409	16449	12188620
410	14459	12203079
411	22212	12225291
412	20382	12245673
413	18393	12264066
414	15936	12280002
415	13955	12293957
416	11868	12305825
417	9875	12315700
418	8018	12323718
419	5983	12329701
420	29422	12359123
421	27622	12386745
422	25691	12412436
423	27103	12439539
424	25121	12464660
425	23093	12487753
426	21948	12509701
427	19837	12529538
428	17778	12547316
429	15723	12563039
430	13715	12576754
431	24863	12601617
432	22899	12624516
433	20920	12645436
434	18933	12664369
435	16870	12681239
436	14915	12696154
437	9159	12705313
438	9044	12714357
439	7090	12721447
440	8845	12730292
441	9203	12739495
442	9677	12749172
443	7814	12756986
444	8201	12765187
445	13041	12778228
446	10972	12789200
447	9022	12798222
448	11001	12809223
449	8969	12818192
450	14994	12833186
451	16008	12849194
452	13944	12863138
453	11958	12875096
454	13322	12888418
455	11322	12899740
456	26079	12925819
457	30576	12956395
458	28628	12985023
459	26473	13011496
460	29415	13040911
461	27464	13068375
462	25499	13093874
463	24612	13118486
464	22903	13141389
465	22436	13163825
466	20435	13184260
467	18435	13202695
468	16215	13218910
469	14168	13233078
470	15715	13248793
471	18133	13266926
472	16506	13283432
473	14466	13297898
474	12841	13310739
475	11356	13322095
476	8318	13330413
477	15365	13345778
478	19017	13364795
479	27389	13392184
480	25194	13417378
481	22977	13440355
482	29703	13470058
483	28590	13498648
484	27368	13526016
485	27638	13553654
486	25642	13579296
487	34262	13613558
488	45559	13659117
489	43570	13702687
490	44903	13747590
491	42978	13790568
492	40743	13831311
493	38797	13870108
494	44412	13914520
495	42460	13956980
496	42857	13999837
497	47243	14047080
498	47819	14094899
499	50714	14145613
500	62347	14207960
501	71325	14279285
502	69446	14348731
503	67394	14416125
504	80771	14496896
505	78894	14575790
506	77014	14652804
507	85265	14738069
508	83126	14821195
509	81154	14902349
510	83500	14985849
511	94034	15079883
512	98017	15177900
513	109201	15287101
514	107416	15394517
515	105486	15500003
516	103456	15603459
517	101500	15704959
518	99652	15804611
519	97714	15902325
520	97065	15999390
521	95045	16094435
522	93192	16187627
523	91227	16278854
524	89122	16367976
525	87081	16455057
526	88182	16543239
527	89279	16632518
528	87316	16719834
529	92133	16811967
530	90092	16902059
531	88190	16990249
532	86310	17076559
533	84448	17161007
534	89478	17250485
535	86282	17336767
536	84180	17420947
537	82173	17503120
538	80175	17583295
539	79344	17662639
540	86585	17749224
541	84949	17834173
542	83005	17917178
543	83370	18000548
544	81458	18082006
545	92435	18174441
546	90318	18264759
547	88286	18353045
548	125818	18478863
549	123894	18602757
550	121961	18724718
551	120028	18844746
552	118079	18962825
553	115916	19078741
554	113994	19192735
555	112082	19304817
556	110134	19414951
557	108198	19523149
558	106255	19629404
559	104331	19733735
560	102409	19836144
561	100392	19936536
562	98438	20034974
563	96436	20131410
